Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,
ML282448851,1,1,badcadd,b,a,d,c,a,d,d,,
,1,2,badcadd,b,a,d,c,a,d,d,,
ML227098341,2,3,ecdb,e,c,d,b,,,,,
,2,4,ecdb,e,c,d,b,,,,,
,2,5,ecdb,e,c,d,b,,,,,
,2,6,ecdb,e,c,d,b,,,,,
ML225542331,2,7,ecdb,e,c,d,b,,,,,
,2,8,ecdb,e,c,d,b,,,,,
,2,9,ecdb,e,c,d,b,,,,,
,2,10,ecdb,e,c,d,b,,,,,
ML225542291 / XC472347,2,11,aaaddd,a,a,a,d,d,d,,,
,2,12,aaaddd,a,a,a,d,d,d,,,
,2,13,aaaddd,a,a,a,d,d,d,,,
ML150909101,3,14,abkbbaaa,a,b,k,b,b,a,a,a,
,3,15,abkbbaaa,a,b,k,b,b,a,a,a,
,3,16,abkbbaaa,a,b,k,b,b,a,a,a,
,3,17,abkbbaaa,a,b,k,b,b,a,a,a,
,3,18,abkbbaaa,a,b,k,b,b,a,a,a,
,3,19,abkbbaaa,a,b,k,b,b,a,a,a,
,3,20,abkbbaaa,a,b,k,b,b,a,a,a,
,3,21,abkbbaaa,a,b,k,b,b,a,a,a,
,3,22,abkbbaaa,a,b,k,b,b,a,a,a,
,3,23,abkbbaaa,a,b,k,b,b,a,a,a,
,3,24,abkbbaaa,a,b,k,b,b,a,a,a,
,3,25,abkbbaaa,a,b,k,b,b,a,a,a,
,3,26,abkbbaaa,a,b,k,b,b,a,a,a,
,3,27,abkbbaaa,a,b,k,b,b,a,a,a,
,3,28,abkbbaaa,a,b,k,b,b,a,a,a,
,3,29,abkbbaaa,a,b,k,b,b,a,a,a,
ML150909031,3,30,eacad,e,a,c,a,d,,,,
,3,31,eacad,e,a,c,a,d,,,,
,3,32,eacad,e,a,c,a,d,,,,
,3,33,eacad,e,a,c,a,d,,,,
,3,34,eacad,e,a,c,a,d,,,,
,3,35,eacad,e,a,c,a,d,,,,
,3,36,eacad,e,a,c,a,d,,,,
,3,37,eacad,e,a,c,a,d,,,,
,3,38,eacad,e,a,c,a,d,,,,
,3,39,eacad,e,a,c,a,d,,,,
,3,40,eacad,e,a,c,a,d,,,,
,3,41,eacad,e,a,c,a,d,,,,
,3,42,eacad,e,a,c,a,d,,,,
,3,43,eacad,e,a,c,a,d,,,,
ML150909021,3,44,abkbbaaa,a,b,k,b,b,a,a,a,
,3,45,abkbbaaa,a,b,k,b,b,a,a,a,
,3,46,abkbbaaa,a,b,k,b,b,a,a,a,
,3,47,abkbbaaa,a,b,k,b,b,a,a,a,
,3,48,abkbbaaa,a,b,k,b,b,a,a,a,
,3,49,abkbbaaa,a,b,k,b,b,a,a,a,
,3,50,abkbbaaa,a,b,k,b,b,a,a,a,
,3,51,abkbbaaa,a,b,k,b,b,a,a,a,
,3,52,abkbbaaa,a,b,k,b,b,a,a,a,
,3,53,abkbbaaa,a,b,k,b,b,a,a,a,
,3,54,abkbbaaa,a,b,k,b,b,a,a,a,
ML150909011,3,55,cccb,c,c,c,b,,,,,
,3,56,cccb,c,c,c,b,,,,,
,3,57,cccb,c,c,c,b,,,,,
,3,58,cccb,c,c,c,b,,,,,
,3,59,cccb,c,c,c,b,,,,,
,3,60,dacad,d,a,c,a,d,,,,
,3,61,dacad,d,a,c,a,d,,,,
,3,62,dacad,d,a,c,a,d,,,,
,3,63,dacad,d,a,c,a,d,,,,
,3,64,dacad,d,a,c,a,d,,,,
,3,65,dacad,d,a,c,a,d,,,,
,3,66,dacad,d,a,c,a,d,,,,
,3,67,dacad,d,a,c,a,d,,,,
ML150908991,3,68,dacad,d,a,c,a,d,,,,
,3,69,dacad,d,a,c,a,d,,,,
,3,70,dacad,d,a,c,a,d,,,,
