Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
ML341516891 / XC430326,1,1,bdcdcdc,b,d,c,d,c,d,c,,,
,1,2,bdcdcdc,b,d,c,d,c,d,c,,,
,1,3,ecdcdc,e,c,d,c,d,c,,,,
,1,4,ecdcdc,e,c,d,c,d,c,,,,
,1,5,ecdcdc,e,c,d,c,d,c,,,,
,1,6,ecdcdc,e,c,d,c,d,c,,,,
,1,7,ecdcdc,e,c,d,c,d,c,,,,
,1,8,ecdcdc,e,c,d,c,d,c,,,,
,1,9,ecdcdc,e,c,d,c,d,c,,,,
,1,10,ecdcdc,e,c,d,c,d,c,,,,
,1,11,ecdcdc,e,c,d,c,d,c,,,,
,1,12,ecdcdc,e,c,d,c,d,c,,,,
,1,13,ecdcdc,e,c,d,c,d,c,,,,
,1,14,ecdcdc,e,c,d,c,d,c,,,,
,1,15,ecdcdc,e,c,d,c,d,c,,,,
ML341516881/ XC430323,1,16,bbccbcc,b,b,c,c,b,c,c,,,
,1,17,bbccbcc,b,b,c,c,b,c,c,,,
,1,18,bbccbcc,b,b,c,c,b,c,c,,,
,1,19,bbccbcc,b,b,c,c,b,c,c,,,
,1,20,bbccbcc,b,b,c,c,b,c,c,,,
,1,21,bbccbcc,b,b,c,c,b,c,c,,,
,1,22,bbccbcc,b,b,c,c,b,c,c,,,
,1,23,bbccbcc,b,b,c,c,b,c,c,,,
,1,24,bbccbcc,b,b,c,c,b,c,c,,,
,1,25,bbccbcc,b,b,c,c,b,c,c,,,
,1,26,bbccbcc,b,b,c,c,b,c,c,,,
,1,27,bbccbcc,b,b,c,c,b,c,c,,,
ML341516861 / XC430324 ,1,28,afdfdf,a,f,d,f,d,f,,,,
,1,29,afdfdf,a,f,d,f,d,f,,,,
,1,30,afdfdf,a,f,d,f,d,f,,,,
,1,31,afdfdf,a,f,d,f,d,f,,,,
,1,32,afdfdf,a,f,d,f,d,f,,,,
,1,33,afdfdf,a,f,d,f,d,f,,,,
,1,34,afdfdf,a,f,d,f,d,f,,,,
ML341516831 / XC430325,1,35,cccbabc,c,c,c,b,a,b,c,,,
ML203991481 / XC263796,2,36,bdadadc,b,d,a,d,a,d,c,,,
,2,37,bdadadc,b,d,a,d,a,d,c,,,
,2,38,bdadadc,b,d,a,d,a,d,c,,,
,2,39,bdadadc,b,d,a,d,a,d,c,,,
,2,40,bdadadc,b,d,a,d,a,d,c,,,
,2,41,bdadadc,b,d,a,d,a,d,c,,,
ML183783571,3,42,cafdfdf,c,a,f,d,f,d,f,,,
,3,43,cafdfdf,c,a,f,d,f,d,f,,,
,3,44,cafdfdf,c,a,f,d,f,d,f,,,
,3,45,cafdfdf,c,a,f,d,f,d,f,,,
,3,46,ababcbc,a,b,a,b,c,b,c,,,
,3,47,abacbc,a,b,a,c,b,c,,,,
,3,48,ababcbc,a,b,a,b,c,b,c,,,
,3,49,ababcbc,a,b,a,b,c,b,c,,,
,3,50,ababcbc,a,b,a,b,c,b,c,,,
,3,51,ababcbc,a,b,a,b,c,b,c,,,
,3,52,ababcbc,a,b,a,b,c,b,c,,,
,3,53,ababcbc,a,b,a,b,c,b,c,,,
,3,54,ababcbc,a,b,a,b,c,b,c,,,
,3,55,ababcbc,a,b,a,b,c,b,c,,,
,3,56,ababcbc,a,b,a,b,c,b,c,,,
ML183783551,3,57,cdfdfdf,c,d,f,d,f,d,f,,,
,3,58,cdfdfdf,c,d,f,d,f,d,f,,,
,3,59,cdfdfdf,c,d,f,d,f,d,f,,,
