Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,
ML283904 / XC 426904,1,1,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,1,2,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,3,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,4,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,5,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,6,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,7,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,8,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,9,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,10,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,11,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,12,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,13,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,14,abcbcbcb,a,b,c,b,c,b,c,b,,,,
ML283905,1,15,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,1,16,abcbcbcb,a,b,c,b,c,b,c,b,,,,
ML203904831,2,17,bgbgbgb,b,g,b,g,b,g,b,,,,,
,2,18,bgbgbgb,b,g,b,g,b,g,b,,,,,
,2,19,bgbgbgb,b,g,b,g,b,g,b,,,,,
,2,20,bgbgbgb,b,g,b,g,b,g,b,,,,,
,2,21,bgbgbgb,b,g,b,g,b,g,b,,,,,
,2,22,bgbgbgb,b,g,b,g,b,g,b,,,,,
ML200521251,3,23,blblbl,b,l,b,l,b,l,,,,,,
,3,24,blblbl,b,l,b,l,b,l,,,,,,
,3,25,blblbl,b,l,b,l,b,l,,,,,,
,3,26,blblbl,b,l,b,l,b,l,,,,,,
,3,27,blblbl,b,l,b,l,b,l,,,,,,
ML200521161,3,28,blblbl,b,l,b,l,b,l,,,,,,
,3,29,blblbl,b,l,b,l,b,l,,,,,,
,3,30,blblbl,b,l,b,l,b,l,,,,,,
,3,31,blblbl,b,l,b,l,b,l,,,,,,
ML200521151,3,32,bhbhbhb,b,h,b,h,b,h,b,,,,,
,3,33,bhbhbhb,b,h,b,h,b,h,b,,,,,
,3,34,bhbhbhb,b,h,b,h,b,h,b,,,,,
,3,35,bhbhbhb,b,h,b,h,b,h,b,,,,,
,3,36,bhbhbhb,b,h,b,h,b,h,b,,,,,
ML236428,4,37,blklkl,b,l,k,l,k,l,,,,,,
,4,38,blklkl,b,l,k,l,k,l,,,,,,
,4,39,blklkl,b,l,k,l,k,l,,,,,,
,4,40,blklkl,b,l,k,l,k,l,,,,,,
,4,41,blklkl,b,l,k,l,k,l,,,,,,
,4,42,blklkl,b,l,k,l,k,l,,,,,,
,4,43,blklkl,b,l,k,l,k,l,,,,,,
,4,44,blkl,b,l,k,l,,,,,,,,
,4,45,blklkl,b,l,k,l,k,l,,,,,,
ML41857,5,46,bhbhbhb,b,h,b,h,b,h,b,,,,,
,5,47,bhbhbhb,b,h,b,h,b,h,b,,,,,
,5,48,bhbhbhb,b,h,b,h,b,h,b,,,,,
,5,49,bhbhbhb,b,h,b,h,b,h,b,,,,,
,5,50,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,51,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,52,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,53,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,54,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,55,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,56,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,57,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,58,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,59,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,60,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,61,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,62,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,63,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,64,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,65,abhbhbhb,a,b,h,b,h,b,h,b,,,,
,5,66,abhbhbhb,a,b,h,b,h,b,h,b,,,,
ML174684,6,67,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,68,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,69,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,70,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,71,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,72,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,73,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
,6,74,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
,6,75,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
,6,76,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,77,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,78,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,79,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,80,hchchchch,h,c,h,c,h,c,h,c,h,,,
,6,81,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
,6,82,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
,6,83,khkhkhkhkhkh,k,h,k,h,k,h,k,h,k,h,k,h
ML335931541,7,84,kckckck,k,c,k,c,k,c,k,,,,,
,7,85,kckckck,k,c,k,c,k,c,k,,,,,
,7,86,kckckck,k,c,k,c,k,c,k,,,,,
ML325912271,8,87,bcbcbcbcb,b,c,b,c,b,c,b,c,b,,,
,8,88,bc,b,c,,,,,,,,,,
,8,89,cbcb,c,b,c,b,,,,,,,,
XC541372,10,90,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,91,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,92,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,93,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,94,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,95,abcbcbcb,a,b,c,b,c,b,c,b,,,,
,10,96,abcbcbcb,a,b,c,b,c,b,c,b,,,,
XC613232,11,97,bcbcbcb,b,c,b,c,b,c,b,,,,,
,11,98,bcbcbcb,b,c,b,c,b,c,b,,,,,
XC533828,12,99,kcgcgcgc,k,c,g,c,g,c,g,c,,,,
,12,100,kcgcgcgc,k,c,g,c,g,c,g,c,,,,
XC255891,13,101,gchchch,g,c,h,c,h,c,h,,,,,
,13,102,hchchch,h,c,h,c,h,c,h,,,,,
,13,103,hchchch,h,c,h,c,h,c,h,,,,,
,13,104,hchchch,h,c,h,c,h,c,h,,,,,
,13,105,hchchch,h,c,h,c,h,c,h,,,,,
,13,106,hchchch,h,c,h,c,h,c,h,,,,,
XC243517,14,107,hbgbgbgb,h,b,g,b,g,b,g,b,,,,
,14,108,bgbgbgb,b,g,b,g,b,g,b,,,,,
