Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
ML341516891 / XC430326,1,1,abcbcbc,a,b,c,b,c,b,c,,,
,1,2,abcbcbc,a,b,c,b,c,b,c,,,
,1,3,dckckg,d,c,k,c,k,g,,,,
,1,4,dckckg,d,c,k,c,k,g,,,,
,1,5,dckckg,d,c,k,c,k,g,,,,
,1,6,dckckg,d,c,k,c,k,g,,,,
,1,7,dckckg,d,c,k,c,k,g,,,,
,1,8,dckckg,d,c,k,c,k,g,,,,
,1,9,dckckg,d,c,k,c,k,g,,,,
,1,10,dckckg,d,c,k,c,k,g,,,,
,1,11,dckckg,d,c,k,c,k,g,,,,
,1,12,dckckg,d,c,k,c,k,g,,,,
,1,13,dckckg,d,c,k,c,k,g,,,,
,1,14,dckckg,d,c,k,c,k,g,,,,
,1,15,dckckg,d,c,k,c,k,g,,,,
ML341516881/ XC430323,1,16,ahhchhc,a,h,h,c,h,h,c,,,
,1,17,ahhchhc,a,h,h,c,h,h,c,,,
,1,18,ahhchhc,a,h,h,c,h,h,c,,,
,1,19,ahhchhc,a,h,h,c,h,h,c,,,
,1,20,ahhchhc,a,h,h,c,h,h,c,,,
,1,21,ahhchhc,a,h,h,c,h,h,c,,,
,1,22,ahhchhc,a,h,h,c,h,h,c,,,
,1,23,ahhchhc,a,h,h,c,h,h,c,,,
,1,24,ahhchhc,a,h,h,c,h,h,c,,,
,1,25,ahhchhc,a,h,h,c,h,h,c,,,
,1,26,ahhchhc,a,h,h,c,h,h,c,,,
,1,27,ahhchhc,a,h,h,c,h,h,c,,,
ML341516861 / XC430324 ,1,28,jkbkbk,j,k,b,k,b,k,,,,
,1,29,jkbkbk,j,k,b,k,b,k,,,,
,1,30,jkbkbk,j,k,b,k,b,k,,,,
,1,31,jkbkbk,j,k,b,k,b,k,,,,
,1,32,jkbkbk,j,k,b,k,b,k,,,,
,1,33,jkbkbk,j,k,b,k,b,k,,,,
,1,34,jkbkbk,j,k,b,k,b,k,,,,
ML341516831 / XC430325,1,35,hajkjkc,h,a,j,k,j,k,c,,,
ML203991481 / XC263796,2,36,abjbjbc,a,b,j,b,j,b,c,,,
,2,37,abjbjbc,a,b,j,b,j,b,c,,,
,2,38,abjbjbc,a,b,j,b,j,b,c,,,
,2,39,abjbjbc,a,b,j,b,j,b,c,,,
,2,40,abjbjbc,a,b,j,b,j,b,c,,,
,2,41,abjbjbc,a,b,j,b,j,b,c,,,
ML183783571,3,42,ajkbkbk,a,j,k,b,k,b,k,,,
,3,43,ajkbkbk,a,j,k,b,k,b,k,,,
,3,44,ajkbkbk,a,j,k,b,k,b,k,,,
,3,45,ajkbkbk,a,j,k,b,k,b,k,,,
,3,46,jqjqcqc,j,q,j,q,c,q,c,,,
,3,47,jqjcqc,j,q,j,c,q,c,,,,
,3,48,jqjqcqc,j,q,j,q,c,q,c,,,
,3,49,jqjqcqc,j,q,j,q,c,q,c,,,
,3,50,jqjqcqc,j,q,j,q,c,q,c,,,
,3,51,jqjqcqc,j,q,j,q,c,q,c,,,
,3,52,jqjqcqc,j,q,j,q,c,q,c,,,
,3,53,jqjqcqc,j,q,j,q,c,q,c,,,
,3,54,jqjqcqc,j,q,j,q,c,q,c,,,
,3,55,jqjqcqc,j,q,j,q,c,q,c,,,
,3,56,jqjqcqc,j,q,j,q,c,q,c,,,
ML183783551,3,57,ajkbkbk,a,j,k,b,k,b,k,,,
,3,58,ajkbkbk,a,j,k,b,k,b,k,,,
,3,59,ajkbkbk,a,j,k,b,k,b,k,,,
,3,60,ajkbkbk,a,j,k,b,k,b,k,,,
,3,61,ajkbkbk,a,j,k,b,k,b,k,,,
,3,62,ajkbkbk,a,j,k,b,k,b,k,,,
,3,63,ajkbkbk,a,j,k,b,k,b,k,,,
,3,64,ajkbkbk,a,j,k,b,k,b,k,,,
,3,65,ajkbkbk,a,j,k,b,k,b,k,,,
,3,66,ajkbkbk,a,j,k,b,k,b,k,,,
,3,67,ajkbkbk,a,j,k,b,k,b,k,,,
ML183783541,3,68,ajcjcjc,a,j,c,j,c,j,c,,,
,3,69,ajcjcjc,a,j,c,j,c,j,c,,,
ML183783531,3,70,ajcjcjc,a,j,c,j,c,j,c,,,
,3,71,ajcjcjc,a,j,c,j,c,j,c,,,
,3,72,ajcjcjc,a,j,c,j,c,j,c,,,
,3,73,ajcjcjc,a,j,c,j,c,j,c,,,
,3,74,ajcjcjc,a,j,c,j,c,j,c,,,
,3,75,ajcjcjc,a,j,c,j,c,j,c,,,
ML183783511,3,76,ajcjcjc,a,j,c,j,c,j,c,,,
,3,77,ajcjcjc,a,j,c,j,c,j,c,,,
,3,78,ajcjcjc,a,j,c,j,c,j,c,,,
,3,79,ajcjcjc,a,j,c,j,c,j,c,,,
ML134697691,4,80,aqkqkc,a,q,k,q,k,c,,,,
,4,81,aqkqkc,a,q,k,q,k,c,,,,
,4,82,aqkqkc,a,q,k,q,k,c,,,,
,4,83,aqkqkc,a,q,k,q,k,c,,,,
,4,84,aqkqkc,a,q,k,q,k,c,,,,
,4,85,aqkqkc,a,q,k,q,k,c,,,,
ML134696841,4,86,cqdcqd,c,q,d,c,q,d,,,,
,4,87,cqdcqd,c,q,d,c,q,d,,,,
,4,88,cqdcqd,c,q,d,c,q,d,,,,
,4,89,cqdcqd,c,q,d,c,q,d,,,,
,4,90,cqdcqd,c,q,d,c,q,d,,,,
ML221819,5,91,hajkjkc,h,a,j,k,j,k,c,,,
,5,92,hajkjkc,h,a,j,k,j,k,c,,,
,5,93,ccqjqc,c,c,q,j,q,c,,,,
,5,94,hckjkc,h,c,k,j,k,c,,,,
,5,95,hajkjkc,h,a,j,k,j,k,c,,,
,5,96,hajkjkc,h,a,j,k,j,k,c,,,
,5,97,hajkjkc,h,a,j,k,j,k,c,,,
,5,98,hajkjkc,h,a,j,k,j,k,c,,,
,5,99,hajkjkc,h,a,j,k,j,k,c,,,
,5,100,hajkjkc,h,a,j,k,j,k,c,,,
,5,101,hajkjkc,h,a,j,k,j,k,c,,,
,5,102,hajkjkc,h,a,j,k,j,k,c,,,
,5,103,hajkjkc,h,a,j,k,j,k,c,,,
,5,104,hajkjkc,h,a,j,k,j,k,c,,,
,5,105,hajkjkc,h,a,j,k,j,k,c,,,
,5,106,hajkjkc,h,a,j,k,j,k,c,,,
,5,107,hajkjkc,h,a,j,k,j,k,c,,,
,5,108,hajkjkc,h,a,j,k,j,k,c,,,
,5,109,hajkjkc,h,a,j,k,j,k,c,,,
,5,110,hajkjkc,h,a,j,k,j,k,c,,,
,5,111,hajkjkc,h,a,j,k,j,k,c,,,
,5,112,hajkjkc,h,a,j,k,j,k,c,,,
,5,113,hajkjkc,h,a,j,k,j,k,c,,,
,5,114,hajkjkc,h,a,j,k,j,k,c,,,
,5,115,hajkjkc,h,a,j,k,j,k,c,,,
,5,116,hajkjkc,h,a,j,k,j,k,c,,,
,5,117,hajkjkc,h,a,j,k,j,k,c,,,
ML221094,6,118,hacacac,h,a,c,a,c,a,c,,,
,6,119,hacacac,h,a,c,a,c,a,c,,,
,6,120,hacacac,h,a,c,a,c,a,c,,,
,6,121,hacacac,h,a,c,a,c,a,c,,,
,6,122,hacacac,h,a,c,a,c,a,c,,,
,6,123,hacacac,h,a,c,a,c,a,c,,,
,6,124,hacacac,h,a,c,a,c,a,c,,,
,6,125,hacacac,h,a,c,a,c,a,c,,,
,6,126,hacacac,h,a,c,a,c,a,c,,,
,6,127,hacacac,h,a,c,a,c,a,c,,,
,6,128,hacacac,h,a,c,a,c,a,c,,,
,6,129,hacacac,h,a,c,a,c,a,c,,,
,6,130,hacacac,h,a,c,a,c,a,c,,,
,6,131,hacacac,h,a,c,a,c,a,c,,,
,6,132,hacacac,h,a,c,a,c,a,c,,,
,6,133,hacacac,h,a,c,a,c,a,c,,,
,6,134,hacacac,h,a,c,a,c,a,c,,,
,6,135,hacacac,h,a,c,a,c,a,c,,,
,6,136,hacacac,h,a,c,a,c,a,c,,,
,6,137,hacacac,h,a,c,a,c,a,c,,,
XC313828,7,138,cbcbcbc,c,b,c,b,c,b,c,,,
,7,139,cbcbcbc,c,b,c,b,c,b,c,,,
,7,140,cbcbcbc,c,b,c,b,c,b,c,,,
,7,141,cbcbcbc,c,b,c,b,c,b,c,,,
,7,142,cbcbcbc,c,b,c,b,c,b,c,,,
,7,143,cbcbcbc,c,b,c,b,c,b,c,,,
,7,144,cbcbcbc,c,b,c,b,c,b,c,,,
,7,145,cbcbcbc,c,b,c,b,c,b,c,,,
XC313827,8,146,jqjqjqc,j,q,j,q,j,q,c,,,
,8,147,jqjqjqc,j,q,j,q,j,q,c,,,
,8,148,qjqjqc,q,j,q,j,q,c,,,,
,8,149,qjqjqc,q,j,q,j,q,c,,,,
,8,150,jqjqjqc,j,q,j,q,j,q,c,,,
,8,151,jqjqjqc,j,q,j,q,j,q,c,,,
,8,152,jqjqjqc,j,q,j,q,j,q,c,,,
,8,153,jqjqjqc,j,q,j,q,j,q,c,,,
,8,154,jqjqjqc,j,q,j,q,j,q,c,,,
,8,155,jqjqjqc,j,q,j,q,j,q,c,,,
,8,156,jqjqjqc,j,q,j,q,j,q,c,,,
,8,157,jqjqjqc,j,q,j,q,j,q,c,,,
,8,158,jqjqjqc,j,q,j,q,j,q,c,,,
,8,159,jqjqjqc,j,q,j,q,j,q,c,,,
XC133360,9,160,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,161,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,162,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,163,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,164,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,165,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,166,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,167,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,168,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,169,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,170,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,171,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,172,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,173,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
XC133362,9,174,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,175,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,176,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
,9,177,jajqcjajqc,j,a,j,q,c,j,a,j,q,c
XC114801,10,178,cckckck,c,c,k,c,k,c,k,,,
,10,179,cckckck,c,c,k,c,k,c,k,,,
XC80396,11,180,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,181,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,182,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,183,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,184,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,185,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,186,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,187,ajajajajaj,a,j,a,j,a,j,a,j,a,j
,11,188,ajajajajaj,a,j,a,j,a,j,a,j,a,j
XC80395,11,189,ckjkjkc,c,k,j,k,j,k,c,,,
,11,190,ckjkjkc,c,k,j,k,j,k,c,,,
,11,191,ckjkjkc,c,k,j,k,j,k,c,,,
,11,192,ckjkjkc,c,k,j,k,j,k,c,,,
,11,193,ckjkjkc,c,k,j,k,j,k,c,,,
,11,194,ckjkjkc,c,k,j,k,j,k,c,,,
,11,195,ckjkjkc,c,k,j,k,j,k,c,,,
,11,196,ckjkjkc,c,k,j,k,j,k,c,,,
XC21673,12,197,hjcjq,h,j,c,j,q,,,,,
,12,198,hjcjq,h,j,c,j,q,,,,,
,12,199,hjcjq,h,j,c,j,q,,,,,
,12,200,hjcjq,h,j,c,j,q,,,,,
,12,201,hjcjq,h,j,c,j,q,,,,,
,12,202,hjcjq,h,j,c,j,q,,,,,
,12,203,hjcjq,h,j,c,j,q,,,,,
,12,204,hjcjq,h,j,c,j,q,,,,,
XC21672,13,205,cabjabc,c,a,b,j,a,b,c,,,
,13,206,cabjabc,c,a,b,j,a,b,c,,,
,13,207,cabjabc,c,a,b,j,a,b,c,,,
,13,208,cabjabc,c,a,b,j,a,b,c,,,
,13,209,cabjabc,c,a,b,j,a,b,c,,,
,13,210,cabjabc,c,a,b,j,a,b,c,,,
,13,211,cabjabc,c,a,b,j,a,b,c,,,
XC21671,13,212,ajkjqjq,a,j,k,j,q,j,q,,,
,13,213,ajkjqjq,a,j,k,j,q,j,q,,,
,13,214,ajkjqjq,a,j,k,j,q,j,q,,,
,13,215,ajkjqjq,a,j,k,j,q,j,q,,,
,13,216,ajkjqjq,a,j,k,j,q,j,q,,,
,13,217,ajkjqjq,a,j,k,j,q,j,q,,,
XC329523,14,218,ajqjqjq,a,j,q,j,q,j,q,,,
,14,219,ajqjqjq,a,j,q,j,q,j,q,,,
