Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
ML283681 /XC426909 ,1,1,abcdbc,a,b,c,d,b,c,,,,
,1,2,abcdbc,a,b,c,d,b,c,,,,
,1,3,abcdbc,a,b,c,d,b,c,,,,
,1,4,abcdbc,a,b,c,d,b,c,,,,
,1,5,abcdbc,a,b,c,d,b,c,,,,
,1,6,abcdbc,a,b,c,d,b,c,,,,
,1,7,abcdbc,a,b,c,d,b,c,,,,
,1,8,abcdbc,a,b,c,d,b,c,,,,
,1,9,abcdbc,a,b,c,d,b,c,,,,
,1,10,abcdbc,a,b,c,d,b,c,,,,
ML283679 / XC426908,1,11,bgnbad,b,g,n,b,a,d,,,,
,1,12,bgnbad,b,g,n,b,a,d,,,,
,1,13,bgnbad,b,g,n,b,a,d,,,,
,1,14,bgnbad,b,g,n,b,a,d,,,,
,1,15,bgnbad,b,g,n,b,a,d,,,,
ML283677 / XC426910,1,16,cbnb,c,b,n,b,,,,,,
,1,17,cbnb,c,b,n,b,,,,,,
,1,18,cbnb,c,b,n,b,,,,,,
,1,19,cbnb,c,b,n,b,,,,,,
,1,20,cbnb,c,b,n,b,,,,,,
,1,21,cbnb,c,b,n,b,,,,,,
ML283631 / XC426907,2,22,cijijijik,c,i,j,i,j,i,j,i,k,
,2,23,cijijijik,c,i,j,i,j,i,j,i,k,
,2,24,cijijijik,c,i,j,i,j,i,j,i,k,
,2,25,cijijijik,c,i,j,i,j,i,j,i,k,
ML283630 / XC426906,2,26,cijijijik,c,i,j,i,j,i,j,i,k,
,2,27,cijijijik,c,i,j,i,j,i,j,i,k,
,2,28,cijijijik,c,i,j,i,j,i,j,i,k,
,2,29,cijijijik,c,i,j,i,j,i,j,i,k,
,2,30,cijijijik,c,i,j,i,j,i,j,i,k,
,2,31,cijijijik,c,i,j,i,j,i,j,i,k,
,2,32,cijijijik,c,i,j,i,j,i,j,i,k,
ML283627 / XC426905,2,33,nbdbdbd,n,b,d,b,d,b,d,,,
,2,34,nbdbd,n,b,d,b,d,,,,,
,2,35,nbdbd,n,b,d,b,d,,,,,
,2,36,nbdbd,n,b,d,b,d,,,,,
,2,37,nbdbdbd,n,b,d,b,d,b,d,,,
,2,38,nbdbd,n,b,d,b,d,,,,,
,2,39,nbdbd,n,b,d,b,d,,,,,
,2,40,nbdbdbd,n,b,d,b,d,b,d,,,
,2,41,nbdbd,n,b,d,b,d,,,,,
ML151362271,3,42,abjdbji,a,b,j,d,b,j,i,,,
,3,43,abjdbji,a,b,j,d,b,j,i,,,
,3,44,abjdbji,a,b,j,d,b,j,i,,,
,3,45,bbmbbm,b,b,m,b,b,m,,,,
,3,46,bbmbbm,b,b,m,b,b,m,,,,
,3,47,bbmbbm,b,b,m,b,b,m,,,,
,3,48,bbmbbm,b,b,m,b,b,m,,,,
ML151362261,3,49,bd,b,d,,,,,,,,
,3,50,bbdbbd,b,b,d,b,b,d,,,,
,3,51,bbdbbd,b,b,d,b,b,d,,,,
,3,52,ddbbbnjni,d,d,b,b,b,n,j,n,i,
ML151362241,3,53,bbmbbm,b,b,m,b,b,m,,,,
,3,54,bbmbbm,b,b,m,b,b,m,,,,
,3,55,bbmbbm,b,b,m,b,b,m,,,,
,3,56,bbmbbm,b,b,m,b,b,m,,,,
ML99905711,4,57,cidcid,c,i,d,c,i,d,,,,
,4,58,cidcid,c,i,d,c,i,d,,,,
,4,59,cidcid,c,i,d,c,i,d,,,,
,4,60,cidcid,c,i,d,c,i,d,,,,
,4,61,cidcid,c,i,d,c,i,d,,,,
,4,62,imbn,i,m,b,n,,,,,,
,4,63,imbn,i,m,b,n,,,,,,
,4,64,imbn,i,m,b,n,,,,,,
,4,65,imbn,i,m,b,n,,,,,,
ML92915711,4,66,onop,o,n,o,p,,,,,,
,4,67,onop,o,n,o,p,,,,,,
,4,68,onop,o,n,o,p,,,,,,
,4,69,onop,o,n,o,p,,,,,,
ML92915701,4,70,cdcgccgn,c,d,c,g,c,c,g,n,,
,4,71,cdcgccgn,c,d,c,g,c,c,g,n,,
,4,72,cdcgccgn,c,d,c,g,c,c,g,n,,
,4,73,cdcgccgn,c,d,c,g,c,c,g,n,,
,4,74,cdcgccgn,c,d,c,g,c,c,g,n,,
ML92915691,4,75,icbcgc,i,c,b,c,g,c,,,,
ML30025881,5,76,bdnbdn,b,d,n,b,d,n,,,,
,5,77,bdnbdn,b,d,n,b,d,n,,,,
,5,78,bdnbdn,b,d,n,b,d,n,,,,
,5,79,bdnbdn,b,d,n,b,d,n,,,,
,5,80,bijbij,b,i,j,b,i,j,,,,
,5,81,bdnbdn,b,d,n,b,d,n,,,,
,5,82,bdnbdn,b,d,n,b,d,n,,,,
,5,83,bdnbdn,b,d,n,b,d,n,,,,
,5,84,bijbij,b,i,j,b,i,j,,,,
,5,85,bdnbdn,b,d,n,b,d,n,,,,
,5,86,bijbij,b,i,j,b,i,j,,,,
,5,87,bdnbdn,b,d,n,b,d,n,,,,
XC437021,6,88,bgijbgbc,b,g,i,j,b,g,b,c,,
,6,89,bgijbgbc,b,g,i,j,b,g,b,c,,
,6,90,bgijbgbc,b,g,i,j,b,g,b,c,,
,6,91,bgijbgbc,b,g,i,j,b,g,b,c,,
XC374269,7,92,ctcincicin,c,t,c,i,n,c,i,c,i,n
,7,93,ctcincicin,c,t,c,i,n,c,i,c,i,n
,7,94,ctcincicin,c,t,c,i,n,c,i,c,i,n
,7,95,ctcincicin,c,t,c,i,n,c,i,c,i,n
,7,96,ctcincicin,c,t,c,i,n,c,i,c,i,n
,7,97,ctcincicin,c,t,c,i,n,c,i,c,i,n
XC374267,8,98,cdtcd,c,d,t,c,d,,,,,
,8,99,cdnd,c,d,n,d,,,,,,
,8,100,cdnd,c,d,n,d,,,,,,
,8,101,cdnd,c,d,n,d,,,,,,
,8,102,cdnd,c,d,n,d,,,,,,
,8,103,cdntc,c,d,n,t,c,,,,,
,8,104,cdnd,c,d,n,d,,,,,,
,8,105,cdnd,c,d,n,d,,,,,,
XC374266,8,106,uinaa,u,i,n,a,a,,,,,
,8,107,uinaa,u,i,n,a,a,,,,,
,8,108,uinaa,u,i,n,a,a,,,,,
,8,109,uinaa,u,i,n,a,a,,,,,
,8,110,uinaa,u,i,n,a,a,,,,,
,8,111,uinaa,u,i,n,a,a,,,,,
XC21684,9,112,bgdbgbj,b,g,d,b,g,b,j,,,
,9,113,bgdbgbj,b,g,d,b,g,b,j,,,
,9,114,bgdbgbj,b,g,d,b,g,b,j,,,
,9,115,bgdbgbj,b,g,d,b,g,b,j,,,
,9,116,bgdbgbj,b,g,d,b,g,b,j,,,
XC21685,9,117,gnini,g,n,i,n,i,,,,,
,9,118,gnini,g,n,i,n,i,,,,,
,9,119,gnini,g,n,i,n,i,,,,,
,9,120,gnini,g,n,i,n,i,,,,,
,9,121,gnini,g,n,i,n,i,,,,,
XC21683,10,122,cnnn,c,n,n,n,,,,,,
,10,123,cnnn,c,n,n,n,,,,,,
,10,124,cnnn,c,n,n,n,,,,,,
,10,125,cnnn,c,n,n,n,,,,,,
,10,126,cnnn,c,n,n,n,,,,,,
,10,127,cnnn,c,n,n,n,,,,,,
,10,128,cnnn,c,n,n,n,,,,,,
,10,129,cnnn,c,n,n,n,,,,,,
XC21682,10,130,bgdbgd,b,g,d,b,g,d,,,,
,10,131,bgdbgd,b,g,d,b,g,d,,,,
,10,132,bgdbgd,b,g,d,b,g,d,,,,
,10,133,bgdbgd,b,g,d,b,g,d,,,,
,10,134,bgdbgd,b,g,d,b,g,d,,,,
,10,135,bgdbgd,b,g,d,b,g,d,,,,
XC21680,10,136,cbnn,c,b,n,n,,,,,,
,10,137,cbnn,c,b,n,n,,,,,,
,10,138,cbnn,c,b,n,n,,,,,,
,10,139,cbnn,c,b,n,n,,,,,,
,10,140,cbnn,c,b,n,n,,,,,,
,10,141,cbnn,c,b,n,n,,,,,,
XC21679,10,142,binini,b,i,n,i,n,i,,,,
,10,143,binini,b,i,n,i,n,i,,,,
,10,144,binini,b,i,n,i,n,i,,,,
,10,145,binini,b,i,n,i,n,i,,,,
,10,146,binini,b,i,n,i,n,i,,,,
,10,147,binini,b,i,n,i,n,i,,,,
,10,148,binini,b,i,n,i,n,i,,,,
,10,149,binini,b,i,n,i,n,i,,,,
,10,150,binini,b,i,n,i,n,i,,,,
,10,151,binini,b,i,n,i,n,i,,,,
,10,152,binini,b,i,n,i,n,i,,,,
XC168132,11,153,jnijni,j,n,i,j,n,i,,,,
,11,154,jnijni,j,n,i,j,n,i,,,,
,11,155,jnijni,j,n,i,j,n,i,,,,
,11,156,jnijni,j,n,i,j,n,i,,,,
