Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
ML234539461,1,1,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,2,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,3,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,4,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,5,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,6,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,7,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,8,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,9,cbacbacbac,c,b,a,c,b,a,c,b,a,c
,1,10,afcfc,a,f,c,f,c,,,,,
,1,11,afcfc,a,f,c,f,c,,,,,
,1,12,afcfc,a,f,c,f,c,,,,,
,1,13,afcfc,a,f,c,f,c,,,,,
,1,14,afcfc,a,f,c,f,c,,,,,
,1,15,afcfc,a,f,c,f,c,,,,,
,1,16,afcfc,a,f,c,f,c,,,,,
,1,17,cabdbf,c,a,b,d,b,f,,,,
,1,18,cabdbf,c,a,b,d,b,f,,,,
,1,19,cabdbf,c,a,b,d,b,f,,,,
,1,20,cabdbf,c,a,b,d,b,f,,,,
,1,21,cabdbf,c,a,b,d,b,f,,,,
,1,22,cabdbf,c,a,b,d,b,f,,,,
,1,23,cabdbf,c,a,b,d,b,f,,,,
ML233745601,2,24,abcbcb,a,b,c,b,c,b,,,,
,2,25,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,26,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,27,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,28,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,29,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,30,cbafbaf,c,b,a,f,b,a,f,,,
,2,31,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,32,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,33,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,34,cbafbaf,c,b,a,f,b,a,f,,,
,2,35,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,36,cbafbafbc,c,b,a,f,b,a,f,b,c,
,2,37,cbafbafbc,c,b,a,f,b,a,f,b,c,
ML233745521,2,38,adcbcb,a,d,c,b,c,b,,,,
,2,39,adcbcb,a,d,c,b,c,b,,,,
ML203983291 / XC365592,3,40,cdbc,c,d,b,c,,,,,,
,3,41,cdbc,c,d,b,c,,,,,,
,3,42,cdbc,c,d,b,c,,,,,,
,3,43,dbc,d,b,c,,,,,,,
ML54947441,3,44,cdbc,c,d,b,c,,,,,,
,3,45,cdbc,c,d,b,c,,,,,,
,3,46,cdbc,c,d,b,c,,,,,,
,3,47,dbc,d,b,c,,,,,,,
ML152245031,4,48,cdcdcd,c,d,c,d,c,d,,,,
,4,49,cdcdcd,c,d,c,d,c,d,,,,
,4,50,cdcdcd,c,d,c,d,c,d,,,,
ML152245021,4,51,dbbbc,d,b,b,b,c,,,,,
,4,52,cdcdcd,c,d,c,d,c,d,,,,
,4,53,cdcdcd,c,d,c,d,c,d,,,,
,4,54,cdcdcd,c,d,c,d,c,d,,,,
ML150328221,5,55,bababc,b,a,b,a,b,c,,,,
,5,56,bababc,b,a,b,a,b,c,,,,
,5,57,bababc,b,a,b,a,b,c,,,,
,5,58,bababc,b,a,b,a,b,c,,,,
ML97464201,6,59,cdbdbf,c,d,b,d,b,f,,,,
,6,60,cdbdbf,c,d,b,d,b,f,,,,
,6,61,cdbdbf,c,d,b,d,b,f,,,,
,6,62,cdbdbf,c,d,b,d,b,f,,,,
ML97463271,7,63,cfbfbf,c,f,b,f,b,f,,,,
,7,64,cfbfbf,c,f,b,f,b,f,,,,
ML97463261,7,65,ccdcbc,c,c,d,c,b,c,,,,
,7,66,ccdcbc,c,c,d,c,b,c,,,,
ML97463221,7,67,cadf,c,a,d,f,,,,,,
,7,68,cadf,c,a,d,f,,,,,,
,7,69,cadf,c,a,d,f,,,,,,
,7,70,cadf,c,a,d,f,,,,,,
,7,71,cadf,c,a,d,f,,,,,,
ML30058111,8,72,cfbc,c,f,b,c,,,,,,
,8,73,cfbc,c,f,b,c,,,,,,
,8,74,cfbc,c,f,b,c,,,,,,
,8,75,cfbc,c,f,b,c,,,,,,
,8,76,cfbc,c,f,b,c,,,,,,
,8,77,cfbc,c,f,b,c,,,,,,
,8,78,cfbc,c,f,b,c,,,,,,
,8,79,cfbc,c,f,b,c,,,,,,
,8,80,cfbc,c,f,b,c,,,,,,
,8,81,cfbc,c,f,b,c,,,,,,
,8,82,cfbc,c,f,b,c,,,,,,
,8,83,cfbc,c,f,b,c,,,,,,
,8,84,cfbc,c,f,b,c,,,,,,
XC659333,9,85,accccc,a,c,c,c,c,c,,,,
XC21678,10,86,acdcbc,a,c,d,c,b,c,,,,
,10,87,acdcbc,a,c,d,c,b,c,,,,
,10,88,acdcbc,a,c,d,c,b,c,,,,
,10,89,acdcbc,a,c,d,c,b,c,,,,
,10,90,acdcbc,a,c,d,c,b,c,,,,
,10,91,acdcbc,a,c,d,c,b,c,,,,
,10,92,acdcbc,a,c,d,c,b,c,,,,
,10,93,acdcbc,a,c,d,c,b,c,,,,
,10,94,acdcbc,a,c,d,c,b,c,,,,
XC21677,10,95,cbfbf,c,b,f,b,f,,,,,
,10,96,cbfbf,c,b,f,b,f,,,,,
,10,97,cbfbf,c,b,f,b,f,,,,,
,10,98,cbfbf,c,b,f,b,f,,,,,
,10,99,cbfbf,c,b,f,b,f,,,,,
,10,100,cbfbf,c,b,f,b,f,,,,,
,10,101,cbfbf,c,b,f,b,f,,,,,
,10,102,cbfbf,c,b,f,b,f,,,,,
,10,103,cbfbf,c,b,f,b,f,,,,,
,10,104,cbfbf,c,b,f,b,f,,,,,
,10,105,cbfbf,c,b,f,b,f,,,,,
,10,106,cbfbf,c,b,f,b,f,,,,,
,10,107,cbfbf,c,b,f,b,f,,,,,
,10,108,cbfbf,c,b,f,b,f,,,,,
,10,109,cbfbf,c,b,f,b,f,,,,,
XC21676,10,110,cdbdbf,c,d,b,d,b,f,,,,
,10,111,cdbdbf,c,d,b,d,b,f,,,,
,10,112,cdbdbf,c,d,b,d,b,f,,,,
,10,113,cdbdbf,c,d,b,d,b,f,,,,
,10,114,cdbdbf,c,d,b,d,b,f,,,,
,10,115,cdbdbf,c,d,b,d,b,f,,,,
,10,116,cdbdbf,c,d,b,d,b,f,,,,
,10,117,cdbdbf,c,d,b,d,b,f,,,,
,10,118,cdbdbf,c,d,b,d,b,f,,,,
,10,119,cdbdbf,c,d,b,d,b,f,,,,
,10,120,cdbdbf,c,d,b,d,b,f,,,,
,10,121,cdbdbf,c,d,b,d,b,f,,,,
,10,122,cdbdbf,c,d,b,d,b,f,,,,
,10,123,cdbdbf,c,d,b,d,b,f,,,,
,10,124,cdbdbf,c,d,b,d,b,f,,,,
XC375474,11,125,bbba,b,b,b,a,,,,,,
,11,126,bbba,b,b,b,a,,,,,,
,11,127,bbba,b,b,b,a,,,,,,
,11,128,bbba,b,b,b,a,,,,,,
,11,129,bbba,b,b,b,a,,,,,,
,11,130,bbba,b,b,b,a,,,,,,
,11,131,bbba,b,b,b,a,,,,,,
,11,132,bbba,b,b,b,a,,,,,,
,11,133,bbba,b,b,b,a,,,,,,
XC21674,12,134,acbc,a,c,b,c,,,,,,
,12,135,acbc,a,c,b,c,,,,,,
