Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,,,
ML283904 / XC 426904,1,1,edededede,e,d,e,d,e,d,e,d,e,,,
,1,2,aededede,a,e,d,e,d,e,d,e,,,,
,1,3,aededede,a,e,d,e,d,e,d,e,,,,
,1,4,aededede,a,e,d,e,d,e,d,e,,,,
,1,5,aededede,a,e,d,e,d,e,d,e,,,,
,1,6,aededede,a,e,d,e,d,e,d,e,,,,
,1,7,aededede,a,e,d,e,d,e,d,e,,,,
,1,8,aededede,a,e,d,e,d,e,d,e,,,,
,1,9,aededede,a,e,d,e,d,e,d,e,,,,
,1,10,aededede,a,e,d,e,d,e,d,e,,,,
,1,11,aededede,a,e,d,e,d,e,d,e,,,,
,1,12,aededede,a,e,d,e,d,e,d,e,,,,
,1,13,aededede,a,e,d,e,d,e,d,e,,,,
,1,14,aededede,a,e,d,e,d,e,d,e,,,,
ML283905,1,15,aededede,a,e,d,e,d,e,d,e,,,,
,1,16,aededede,a,e,d,e,d,e,d,e,,,,
ML203904831,2,17,ececece,e,c,e,c,e,c,e,,,,,
,2,18,ececece,e,c,e,c,e,c,e,,,,,
,2,19,ececece,e,c,e,c,e,c,e,,,,,
,2,20,ececece,e,c,e,c,e,c,e,,,,,
,2,21,ececece,e,c,e,c,e,c,e,,,,,
,2,22,ececece,e,c,e,c,e,c,e,,,,,
ML200521251,3,23,efefef,e,f,e,f,e,f,,,,,,
,3,24,efefef,e,f,e,f,e,f,,,,,,
,3,25,efefef,e,f,e,f,e,f,,,,,,
,3,26,efefef,e,f,e,f,e,f,,,,,,
,3,27,efefef,e,f,e,f,e,f,,,,,,
ML200521161,3,28,efefef,e,f,e,f,e,f,,,,,,
,3,29,efefef,e,f,e,f,e,f,,,,,,
,3,30,efefef,e,f,e,f,e,f,,,,,,
,3,31,efefef,e,f,e,f,e,f,,,,,,
ML200521151,3,32,ececece,e,c,e,c,e,c,e,,,,,
,3,33,ececece,e,c,e,c,e,c,e,,,,,
,3,34,ececece,e,c,e,c,e,c,e,,,,,
,3,35,eececece,e,e,c,e,c,e,c,e,,,,
,3,36,ececece,e,c,e,c,e,c,e,,,,,
ML236428,4,37,efafaf,e,f,a,f,a,f,,,,,,
,4,38,efafaf,e,f,a,f,a,f,,,,,,
,4,39,efafaf,e,f,a,f,a,f,,,,,,
,4,40,efafaf,e,f,a,f,a,f,,,,,,
,4,41,efafaf,e,f,a,f,a,f,,,,,,
