Catalogue No,Unit no,Song no,note sequence,note types,,,,,,,,,
ML283681 /XC426909 ,1,1,fcadca,f,c,a,d,c,a,,,,
,1,2,fcadca,f,c,a,d,c,a,,,,
,1,3,fcadca,f,c,a,d,c,a,,,,
,1,4,fcadca,f,c,a,d,c,a,,,,
,1,5,fcadca,f,c,a,d,c,a,,,,
,1,6,fcadca,f,c,a,d,c,a,,,,
,1,7,fcadca,f,c,a,d,c,a,,,,
,1,8,fcadca,f,c,a,d,c,a,,,,
,1,9,fcadca,f,c,a,d,c,a,,,,
,1,10,fcadca,f,c,a,d,c,a,,,,
ML283679 / XC426908,1,11,cdecfefc,c,d,e,c,f,e,f,c,,
,1,12,cdecfefc,c,d,e,c,f,e,f,c,,
,1,13,cdecfefc,c,d,e,c,f,e,f,c,,
,1,14,cdecfefc,c,d,e,c,f,e,f,c,,
,1,15,cdecfefc,c,d,e,c,f,e,f,c,,
ML283677 / XC426910,1,16,acfc,a,c,f,c,,,,,,
,1,17,acfc,a,c,f,c,,,,,,
,1,18,acfc,a,c,f,c,,,,,,
,1,19,acfc,a,c,f,c,,,,,,
,1,20,acfc,a,c,f,c,,,,,,
,1,21,acfc,a,c,f,c,,,,,,
ML283631 / XC426907,2,22,ababababc,a,b,a,b,a,b,a,b,c,
,2,23,ababababc,a,b,a,b,a,b,a,b,c,
,2,24,ababababc,a,b,a,b,a,b,a,b,c,
,2,25,ababababc,a,b,a,b,a,b,a,b,c,
ML283630 / XC426906,2,26,ababababc,a,b,a,b,a,b,a,b,c,
,2,27,ababababc,a,b,a,b,a,b,a,b,c,
,2,28,ababababc,a,b,a,b,a,b,a,b,c,
,2,29,ababababc,a,b,a,b,a,b,a,b,c,
,2,30,ababababc,a,b,a,b,a,b,a,b,c,
,2,31,ababababc,a,b,a,b,a,b,a,b,c,
,2,32,ababababc,a,b,a,b,a,b,a,b,c,
ML283627 / XC426905,2,33,ecdcdcd,e,c,d,c,d,c,d,,,
,2,34,ecdcd,e,c,d,c,d,,,,,
,2,35,ecdcd,e,c,d,c,d,,,,,
,2,36,ecdcd,e,c,d,c,d,,,,,
,2,37,ecdcdcd,e,c,d,c,d,c,d,,,
,2,38,ecdcd,e,c,d,c,d,,,,,
,2,39,ecdcd,e,c,d,c,d,,,,,
,2,40,ecdcdcd,e,c,d,c,d,c,d,,,
,2,41,ecdcd,e,c,d,c,d,,,,,
ML151362271,3,42,dcadcab,d,c,a,d,c,a,b,,,
,3,43,dcadcab,d,c,a,d,c,a,b,,,
,3,44,dcadcab,d,c,a,d,c,a,b,,,
,3,45,ccacca,c,c,a,c,c,a,,,,
,3,46,ccacca,c,c,a,c,c,a,,,,
,3,47,ccacca,c,c,a,c,c,a,,,,
,3,48,ccacca,c,c,a,c,c,a,,,,
ML151362261,3,49,cd,c,d,,,,,,,,
,3,50,ccdccd,c,c,d,c,c,d,,,,
,3,51,ccdccd,c,c,d,c,c,d,,,,
,3,52,dfccccbfb,d,f,c,c,c,c,b,f,b,
ML151362241,3,53,ccacca,c,c,a,c,c,a,,,,
,3,54,ccacca,c,c,a,c,c,a,,,,
,3,55,ccacca,c,c,a,c,c,a,,,,
,3,56,ccacca,c,c,a,c,c,a,,,,
ML99905711,4,57,abdabd,a,b,d,a,b,d,,,,
,4,58,abdabd,a,b,d,a,b,d,,,,
,4,59,abdabd,a,b,d,a,b,d,,,,
,4,60,abdabd,a,b,d,a,b,d,,,,
,4,61,abdabd,a,b,d,a,b,d,,,,
,4,62,cdce,c,d,c,e,,,,,,
,4,63,cdce,c,d,c,e,,,,,,
,4,64,cdce,c,d,c,e,,,,,,
